speaker_id,speaker_name,gender,category,split
id000066,Elena Arzak,female,chef,train
id000067,Najat Kaanache,female,chef,test
id000068,Eva Arguiñano,female,chef,validation
id000069,Millán Salcedo Salcedo,male,comedian,train
id000070,Héctor de Miguel,male,comedian,train
id000071,Yunez Chaib,male,comedian,train
id000072,Julián López,male,comedian,train
id000073,Félix Extremeño Prieto,male,comedian,train
id000074,Miguel Ángel Tirado,male,comedian,train
id000075,Antonio Castelo,male,comedian,train
id000076,Andreu Buenafuente,male,comedian,train
id000077,Jaime Caravaca,male,comedian,train
id000078,Luis Piedrahita,male,comedian,train
id000079,Santi Millán,male,tv_host,train
id000080,Manu Sánchez,male,comedian,train
id000081,Edu Soto,male,comedian,train
id000082,Raúl Cimas,male,comedian,train
id000083,Carlos Latre,male,comedian,train
id000084,Dani Mateo,male,tv_host,train
id000085,Miki Nadal,male,comedian,test
id000086,El Monaguillo,male,comedian,train
id000087,Rober Bodegas,male,comedian,train
id000088,Sara Escudero,female,comedian,train
id000089,Patricia Sornosa,female,comedian,train
id000090,Paula Prendes,female,tv_host,train
id000091,Eva Amaral,female,singer,validation
id000092,Marta Flich,female,tv_host,train
id000093,Raquel Sastre,female,comedian,train
id000094,Susi Caramelo,female,comedian,train
id000095,Toni Acosta,female,actress,train
id000096,Carmen Machi,female,actress,train
id000097,María Castro,female,actress,validation
id000098,Ana Milán,female,actress,train
id000099,Alex de la Croix,female,comedian,train
id000100,Nerea Pérez de las Heras,female,comedian,train
id000101,Plex,male,content_creator,train
id000102,AuronPlay,male,content_creator,train
id000103,El Rubius,male,content_creator,train
id000104,IlloJuan,male,content_creator,train
id000105,Ibai Llanos,male,content_creator,train
id000106,Xuso Jones,male,content_creator,train
id000107,TheGrefg,male,content_creator,train
id000108,Mario Marzo,male,content_creator,train
id000109,Jordi Wild,male,content_creator,train
id000110,Willyrex,male,content_creator,train
id000111,Frank Cuesta,male,content_creator,train
id000112,Manu Ríos,male,content_creator,validation
id000113,Joan Pradells,male,content_creator,train
id000114,Jordi Cruz,male,content_creator,train
id000115,Ignatius Farray,male,content_creator,train
id000116,Dani el Rojo,male,content_creator,validation
id000117,Rodrigo Cortés,male,content_creator,train
id000118,Tote Fernández,male,content_creator,train
id000119,David Calle,male,content_creator,train
id000120,Siro López,male,content_creator,train
id000121,Juan Ramón Rallo,male,content_creator,train
id000122,Álvaro Ojeda Sacaluga,male,content_creator,test
id000123,Miguel Bernal Montes,male,content_creator,train
id000124,Gerard Romero,male,content_creator,validation
id000125,Omar Ayuso,male,content_creator,train
id000126,Wismichu,male,content_creator,train
id000127,DjMaRiiO,male,content_creator,train
id000128,Miguel Maldonado,male,content_creator,test
id000129,Carles Tamayo,male,content_creator,train
id000130,José Luis Crespo Cepeda,male,content_creator,train
id000131,Nico Abad,male,content_creator,train
id000132,Pol Turrents,male,content_creator,train
id000133,Esperansa Grasia,female,content_creator,test
id000134,Marta Díaz,female,content_creator,train
id000135,Lola Lolita,female,content_creator,train
id000136,Lalachus,female,content_creator,train
id000137,Vanesa Romero,female,content_creator,train
id000138,Jessica Goicoechea Jover,female,content_creator,train
id000139,Leonor Lavado,female,content_creator,train
id000140,María Pombo,female,content_creator,train
id000141,Inés Hernand,female,content_creator,test
id000142,Laura Escanes,female,content_creator,train
id000143,Abby,female,content_creator,validation
id000144,Dulceida,female,content_creator,train
id000145,Vicky Martín Berrocal,female,content_creator,train
id000146,Cristinini,female,content_creator,train
id000147,Tamara Gorro,female,content_creator,train
id000148,Begoña Gerpe,female,content_creator,train
id000149,Nagore Robles,female,content_creator,train
id000150,Rocío Vidal Menacho,female,content_creator,train
id000151,Maxi Iglesias,male,actor,test
id000152,Abraham Mateo,male,singer,train
id000153,Quim Gutiérrez,male,actor,train
id000154,Alejo Sauras,male,actor,train
id000155,Marc Clotet,male,actor,validation
id000156,Daniel Brühl,male,actor,validation
id000157,Juan Antonio Bayona,male,actor,validation
id000158,Imanol Arias,male,actor,train
id000159,Jordi Évole,male,actor,train
id000160,Javier Gutiérrez,male,actor,test
id000161,Carlos Bardem,male,actor,test
id000162,Karra Elejalde,male,actor,train
id000163,Eduardo Noriega,male,actor,validation
id000164,Fele Martínez,male,actor,validation
id000165,Jorge Sanz,male,actor,train
id000166,Albert Pla,male,actor,validation
id000167,Fran Perea,male,actor,test
id000168,Jordi Mollà,male,actor,train
id000169,Eduard Fernández,male,actor,train
id000170,David Trueba,male,actor,train
id000171,Andrés Velencoso,male,actor,train
id000172,Albert Espinosa,male,actor,train
id000173,Fernando Trueba,male,actor,train
id000174,Fernando Colomo,male,actor,test
id000175,Adrià Collado,male,actor,train
id000176,Fernando Guillén Cuervo,male,actor,train
id000177,Francis Lorenzo,male,actor,train
id000178,Carmelo Gómez,male,actor,train
id000179,Raúl Arévalo,male,actor,train
id000180,Joaquín Cortés,male,actor,train
id000181,Ramón Barea,male,actor,train
id000182,Pablo Espinosa,male,actor,train
id000183,Kandido Uranga,male,actor,train
id000184,Agustín Almodóvar,male,actor,train
id000185,Albert Boadella,male,actor,train
id000186,José Ángel Egido,male,actor,train
id000187,Andoni Agirregomezkorta,male,actor,train
id000188,José Luis Gómez,male,actor,train
id000189,Luis Zahera,male,actor,train
id000190,Eduardo Aldán,male,actor,train
id000191,Miren Jaurne (Mimi XXL),female,content_creator,train
id000192,Antonio de la Torre,male,actor,test
id000193,Cristina Castaño,female,actress,train
id000194,Neus Asensi,female,actress,train
id000195,Victoria Abril,female,actress,train
id000196,Carmen Maura,female,actress,test
id000197,Candela Peña,female,actress,train
id000198,Natalia de Molina,female,actress,train
id000199,Bárbara Lennie,female,actress,train
id000200,Mónica Cruz,female,actress,validation
id000201,Dafne Fernández,female,actress,train
id000202,Adriana Ugarte,female,actress,train
id000203,Ariadna Gil,female,actress,test
id000204,Leonor Watling,female,actress,train
id000205,Elena Anaya,female,actress,train
id000206,Irene Escolar,female,actress,train
id000207,Patricia Conde,female,actress,train
id000208,Loles León,female,actress,validation
id000209,Lluvia Rojo,female,actress,train
id000210,Rossy de Palma,female,actress,train
id000211,María Pujalte,female,actress,test
id000212,Esther Cañadas,female,actress,train
id000213,Blanca Romero,female,actress,train
id000214,Marta Etura,female,actress,train
id000215,Assumpta Serna,female,actress,train
id000216,Irene Montalà,female,actress,train
id000217,Ivana Baquero,female,actress,train
id000218,Cayetana Guillén Cuervo,female,actress,test
id000219,Alicia Borrachero,female,actress,train
id000220,Silvia Jato Nuñez,female,actress,train
id000221,Adriana Ozores,female,actress,train
id000222,Emma Suárez,female,actress,train
id000223,Ana Wagener,female,actress,train
id000224,Silvia Abascal,female,actress,train
id000225,Marta Hazas,female,actress,validation
id000226,Leticia Dolera,female,actress,train
id000227,Lola Dueñas,female,actress,train
id000228,Míriam Díaz Aroca,female,actress,train
id000229,Goya Toledo,female,actress,train
id000230,Pilar Castro,female,actress,train
id000231,María Barranco,female,actress,train
id000232,Mar Saura,female,model,train
id000233,Emma Ozores,female,actress,train
id000234,Marisol Ayuso,female,actress,train
id000235,Teresa Rabal,female,actress,train
id000236,Sara Sálamo,female,actress,train
id000237,Estrella Morente,female,actress,train
id000238,Laia Costa,female,actress,train
id000239,María Hervás,female,actress,train
id000240,Cecilia Gessa,female,actress,validation
id000241,Gisela,female,actress,train
id000242,Nina,female,actress,train
id000243,Nuria González,female,actress,train
id000244,Inés Sastre,female,actress,test
id000245,María Dueñas,female,writer,train
id000246,Ana Turpin,female,actress,train
id000247,Norma Ruiz,female,actress,train
id000248,Paula Echevarría,female,actress,train
id000249,Ana Rujas,female,actress,train
id000250,Ruth Gabriel,female,actress,train
id000251,Vicky Luengo,female,actress,validation
id000252,Hiba Abouk,female,actress,train
id000253,Macarena Gómez,female,actress,train
id000254,Álex Ubago,male,singer,train
id000255,Enrique Iglesias,male,singer,train
id000256,Bertín Osborne,male,singer,train
id000257,José Luis Perales,male,singer,test
id000258,Joan Manuel Serrat,male,singer,train
id000259,Sergio Dalma,male,singer,validation
id000260,Carlos Areces,male,singer,train
id000261,Plácido Domingo,male,singer,train
id000262,David Bustamante,male,singer,test
id000263,José Vélez,male,singer,train
id000264,Javier Gurruchaga,male,singer,train
id000265,Joselito,male,singer,test
id000266,José Luis Moreno,male,singer,train
id000267,Chimo Bayo,male,singer,test
id000268,Asier Etxeandia,male,singer,train
id000269,Alberto Comesaña,male,singer,train
id000270,Diego «el Cigala»,male,singer,test
id000271,Iván,male,singer,train
id000272,Adrián Rodríguez,male,singer,train
id000273,Ismael Serrano,male,singer,train
id000274,Álvaro de Luna,male,singer,train
id000275,Pastora Soler,female,singer,test
id000276,Ana Torroja,female,singer,train
id000277,Edurne,female,singer,train
id000278,Amaia Montero,female,singer,train
id000279,Beatriz Luengo,female,singer,train
id000280,Melody,female,singer,train
id000281,Karina,female,singer,train
id000282,Paloma San Basilio,female,singer,train
id000283,Christina Rosenvinge,female,singer,train
id000284,Mai Meneses (Nena Daconte),female,singer,train
id000285,Ainhoa Arteta Ibarrolaburu,female,singer,test
id000286,Soraya Arnelas,female,singer,train
id000287,Bebe,female,singer,train
id000288,María Isabel López,female,singer,train
id000289,Concha Buika,female,singer,train
id000290,Beth,female,singer,validation
id000291,Merche,female,singer,train
id000292,Marta Sánchez,female,singer,validation
id000293,Anni B Sweet,female,singer,train
id000294,Carmen Linares,female,singer,validation
id000295,Cristina Pato,female,singer,validation
id000296,Amparo Sánchez,female,singer,validation
id000297,Aiora Renteria,female,singer,train
id000298,Rosa López,female,singer,train
id000299,Inma Serrano,female,singer,train
id000300,Anabel Conde,female,singer,test
id000301,Idaira,female,singer,train
id000302,Dani Fernández,male,singer,train
id000303,Ruth Lorenzo,female,singer,train
id000304,Cristina Llorente,female,singer,train
id000305,Bel Arjonna,female,singer,train
id000306,Soleá Morente,female,singer,train
id000307,José Luis Garci,male,tv_host,train
id000308,Antonio Lobato,male,tv_host,train
id000309,Florentino Fernández,male,tv_host,train
id000310,Juan Tamariz,male,tv_host,train
id000311,Jordi González,male,tv_host,train
id000312,José Yélamo,male,tv_host,train
id000313,Jaime Cantizano,male,tv_host,train
id000314,David Cantero,male,tv_host,train
id000315,Juan Manuel López Iturriaga,male,tv_host,train
id000316,Alfonso Arteseros,male,tv_host,test
id000317,Luis Bassat,male,tv_host,validation
id000318,Jesús Cintora,male,tv_host,train
id000319,Gómez Bermúdez,male,tv_host,train
id000320,Ion Aramendi,male,tv_host,train
id000321,Jesús Calleja,male,tv_host,train
id000322,Iñaki López,male,tv_host,train
id000323,Xosé Castro Roig,male,tv_host,train
id000324,Rodrigo Vázquez,male,tv_host,train
id000325,Xabier Usabiaga,male,tv_host,train
id000326,Toni Soler,male,tv_host,train
id000327,Gonzalo Miró,male,tv_host,train
id000328,Santi Acosta,male,tv_host,train
id000329,Rubén Sanz,male,tv_host,train
id000330,Roberto Vilar,male,tv_host,train
id000331,Risto Mejide,male,tv_host,train
id000332,Ramoncín,male,tv_host,train
id000333,Màxim Huerta,male,tv_host,train
id000334,Pepe Navarro,male,tv_host,test
id000335,Marta Torné,female,tv_host,train
id000336,Bárbara Rey,female,tv_host,test
id000337,Carolina Cerezuela,female,tv_host,train
id000338,Mamen Mendizábal,female,tv_host,train
id000339,Arancha de Benito,female,tv_host,train
id000340,Sandra Barneda,female,tv_host,train
id000341,Nuria Marín,female,tv_host,train
id000342,Samanta Villar,female,tv_host,train
id000343,Emma García,female,tv_host,train
id000344,Patricia Gaztañaga,female,tv_host,test
id000345,Paloma Lago,female,tv_host,test
id000346,Norma Duval,female,tv_host,train
id000347,Lara Álvarez,female,tv_host,train
id000348,María Patiño,female,tv_host,train
id000349,Manuela Velasco,female,tv_host,validation
id000350,Kira Miró,female,tv_host,train
id000351,Toñi Moreno,female,tv_host,train
id000352,Eva González,female,tv_host,validation
id000353,Esther Arroyo,female,tv_host,test
id000354,Belén Esteban,female,tv_host,train
id000355,Carmen Lomana,female,tv_host,train
id000356,Terelu Campos,female,tv_host,train
id000357,Juan Ramón Lucas,male,journalist,train
id000358,Alejandro Cao de Benós,male,journalist,test
id000359,Hermann Tertsch,male,journalist,train
id000360,Xavier Sardà,male,journalist,train
id000361,Javier Ares,male,journalist,train
id000362,Jaime Alguersuari,male,journalist,train
id000363,Ignacio Ramonet,male,journalist,test
id000364,Ferrán Martínez Garriga,male,journalist,train
id000365,Manu Carreño,male,journalist,validation
id000366,Xabier Fortes,male,journalist,train
id000367,María Casado Paredes,female,journalist,train
id000368,Maruja Torres,female,journalist,train
id000369,Irene Villa,female,journalist,validation
id000370,Cristina Tárrega,female,journalist,train
id000371,Beatriz Montañez,female,journalist,train
id000372,Berta Collado,female,journalist,train
id000373,Anna Simon,female,journalist,train
id000374,Ana Blanco,female,journalist,train
id000375,Cristina Fallarás,female,journalist,train
id000376,Ana García-Siñeriz,female,journalist,train
id000377,Isabel Jiménez,female,journalist,train
id000378,Adela Úcar,female,journalist,train
id000379,Montserrat Domínguez,female,journalist,test
id000380,Alejandra Andreu,female,journalist,train
id000381,Josema Yuste,male,comedian,train
id000382,Carlos Librado,male,comedian,train
id000383,Agustín Jiménez,male,comedian,train
id000384,J. J. Vaquero,male,comedian,validation
id000385,César Cadaval,male,comedian,train
id000386,Iggy Rubín,male,comedian,validation
id000387,Agustín el Casta,male,comedian,train
id000388,Óscar Terol,male,comedian,train
id000389,Galder Varas,male,comedian,train
id000390,Secun de la Rosa,male,comedian,train
id000391,Mireia Portas,female,comedian,train
id000392,Martita de Graná,female,comedian,train
id000393,Pepa Rus,female,comedian,train
id000394,Llum Barrera,female,comedian,train
id000395,Gerard Piqué,male,athlete,train
id000396,David Villa,male,athlete,train
id000397,Fernando Torres,male,athlete,train
id000398,Carles Puyol,male,athlete,train
id000399,Álvaro Morata,male,athlete,train
id000400,Daniel Carvajal,male,athlete,train
id000401,David de Gea,male,athlete,train
id000402,Cesc Fàbregas,male,athlete,train
id000403,Sergio Busquets,male,athlete,train
id000404,Julen Lopetegui,male,athlete,train
id000405,Sergio Canales,male,athlete,train
id000406,Julio Salinas,male,athlete,train
id000407,Alberto Contador,male,athlete,train
id000408,Emilio Butragueño,male,athlete,train
id000409,Isco Alarcón,male,athlete,train
id000410,Sergio Ramos,male,athlete,train
id000411,Fernando Morientes,male,athlete,train
id000412,Marc Cucurella,male,athlete,train
id000413,Arantxa Sánchez Vicario,female,athlete,train
id000414,Conchita Martínez,female,athlete,test
id000415,Maite Zúñiga,female,athlete,train
id000416,Joane Somarriba,female,athlete,train
id000417,Carla Suárez,female,athlete,train
id000418,Dori Ruano,female,athlete,train
id000419,Alba Torrens,female,athlete,train
id000420,Paula Badosa,female,athlete,test
id000421,Teresa Perales,female,athlete,train
id000422,Lara Arruabarrena,female,athlete,train
id000423,Erika Villaécija,female,athlete,train
id000424,Arturo Pérez-Reverte,male,writer,train
id000425,Juan Manuel de Prada,male,writer,train
id000426,Andrés Trapiello,male,writer,train
id000427,César Antonio Molina,male,writer,validation
id000428,Javier Cercas,male,writer,train
id000429,Antonio Muñoz Molina,male,writer,train
id000430,Fernando Savater,male,writer,train
id000431,Fernando Aramburu,male,writer,validation
id000432,Bernardo Atxaga,male,writer,validation
id000433,Jon Juaristi,male,writer,validation
id000434,Agustín Fernández Mallo,male,writer,train
id000435,Julia Navarro,female,writer,train
id000436,Elvira Lindo,female,writer,train
id000437,Ana Merino,female,writer,validation
id000438,María Oruña,female,writer,train
id000439,Clara Sánchez,female,writer,train
id000440,Care Santos,female,writer,train
id000441,Belén Gopegui,female,writer,train
id000442,Elena Medel,female,writer,train
id000443,Joan Laporta,male,politician,train
id000444,Baltasar Garzón,male,politician,train
id000445,Arnaldo Otegi,male,politician,validation
id000446,Francisco de la Torre Prados,male,politician,train
id000447,José Bono,male,politician,validation
id000448,Miquel Iceta,male,politician,train
id000449,Gabriel Rufián,male,politician,test
id000450,Alfonso Rueda,male,politician,train
id000451,Cristina Narbona,female,politician,train
id000452,Concepción Gamarra Ruiz-Clavijo,female,politician,train
id000453,Esperanza Aguirre,female,politician,train
id000454,Ana Botella,female,politician,train
id000455,Ana Palacio,female,politician,train
id000456,María Dolores de Cospedal,female,politician,train
id000457,Carmen Calvo Poyato,female,politician,train
id000458,Rosa Díez,female,politician,train
id000459,Cristina Almeida,female,politician,train
id000460,María Teresa Fernández de la Vega,female,politician,train
id000461,Elena Valenciano,female,politician,train
id000462,Jon Kortajarena,male,model,train
id000463,Carlos Lozano,male,model,train
id000464,Pelayo Díaz,male,model,test
id000465,Feliciano López,male,model,train
id000466,David Amor,male,model,train
id000467,Alejandro Albarracín,male,model,train
id000468,Javier de Miguel,male,model,train
id000469,Belén Fabra,female,model,test
id000470,Eva Pedraza,female,model,train
id000471,Esmeralda Moya,female,model,test
id000472,Nieves Álvarez,female,model,test
id000473,Eugenia Silva,female,model,train
id000474,Ares Teixidó,female,tv_host,train
id000475,Helen Lindes,female,model,test
id000476,Alba Carrillo,female,model,train
id000477,Elisabeth Reyes,female,model,train
id000478,Garbiñe Abasolo,female,model,train
id000479,Almudena Fernández,female,model,validation
id000480,Malena Costa,female,model,validation
id000481,Dabiz Muñoz,male,chef,train
id000482,Alberto Chicote,male,chef,train
id000483,Albert Barniol,male,scientist,train
id000484,Jorge Mira,male,scientist,train
id000485,Avelino Corma,male,scientist,test
id000486,David Jou,male,scientist,train
id000487,Agustín Sánchez-Lavega,male,scientist,train
id000488,Mariano Barbacid,male,scientist,train
id000489,Eduardo Battaner,male,scientist,train
id000490,Ángel Carracedo,male,scientist,train
id000491,Eugenio Coronado,male,scientist,validation
id000492,Enrique Castillo Ron,male,scientist,train
id000493,Eva Nogales,female,scientist,train
id000494,Ana María Cuervo,female,scientist,validation
id000495,Margarita del Val,female,scientist,train
id000496,Celia Sánchez-Ramos,female,scientist,train
id000497,Ana Crespo,female,scientist,train
id000498,Cristina Uriarte,female,scientist,train
id000499,Sonia Fernández-Vidal,female,scientist,train
id000500,Adela Muñoz Páez,female,scientist,train
